Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-Galaxies	DEC-Galaxies	PosErr-Galaxies
 0.0	0.00	  176.664140	   14.560416	  6.00	  176.664140	   14.560420	  6.00
 0.1	0.01	  180.391630	    4.466486	  6.00	  180.391610	    4.466490	  6.00
 0.1	0.01	  131.551900	    7.267075	  6.00	  131.551910	    7.267060	  6.00
 0.0	0.00	  144.589050	    9.895463	  6.00	  144.589050	    9.895460	  6.00
 0.0	0.00	  157.444950	   13.018173	  6.00	  157.444960	   13.018170	  6.00
 0.0	0.00	  233.694120	   12.447246	  6.00	  233.694120	   12.447246	  6.00
 0.0	0.00	  177.378000	   12.677094	  6.00	  177.378000	   12.677094	  6.00
 0.0	0.00	  119.375250	   15.699568	  6.00	  119.375250	   15.699570	  6.00
 0.5	0.06	  170.030490	    7.335865	  6.00	  170.030440	    7.335730	  6.00
 0.8	0.09	  198.072540	   12.868475	  6.00	  198.072720	   12.868350	  6.00
 1.3	0.16	  236.606800	    4.427430	  6.00	  236.606500	    4.427640	  6.00
 0.0	0.00	  211.364550	   12.231841	  6.00	  211.364550	   12.231840	  6.00
 0.0	0.00	  159.127590	    5.017324	  6.00	  159.127590	    5.017330	  6.00
 0.0	0.00	  123.715050	    6.174746	  6.00	  123.715050	    6.174740	  6.00
 0.0	0.00	  151.777150	   12.897600	  6.00	  151.777150	   12.897600	  6.00
 0.1	0.01	  146.964870	    8.835375	  6.00	  146.964870	    8.835390	  6.00
 0.0	0.00	  162.035580	   14.854573	  6.00	  162.035580	   14.854580	  6.00
 0.0	0.00	  239.853350	   10.461566	  6.00	  239.853350	   10.461566	  6.00
 0.0	0.00	  162.833060	   14.023437	  6.00	  162.833060	   14.023440	  6.00
 0.0	0.00	  161.339390	   13.714204	  6.00	  161.339390	   13.714204	  6.00
 0.1	0.01	  151.245310	    5.364658	  6.00	  151.245290	    5.364670	  6.00
 0.0	0.00	  131.824580	   10.042658	  6.00	  131.824580	   10.042658	  6.00
 0.0	0.00	  222.594310	   11.403915	  6.00	  222.594310	   11.403920	  6.00
 0.0	0.00	  208.581340	    5.754522	  6.00	  208.581340	    5.754522	  6.00
 0.0	0.00	  221.868500	   12.764994	  6.00	  221.868500	   12.764990	  6.00
 0.0	0.00	  144.999040	   10.457276	  6.00	  144.999040	   10.457280	  6.00
 0.0	0.00	  132.484430	   10.719072	  6.00	  132.484430	   10.719072	  6.00
