ra,dec
234.65304,13.51757
151.78042,15.98444
211.61116,9.35904
219.59399,4.61328
150.2980836,14.41572644
212.3000418,13.31479238
120.8910656,9.12546774
170.73066,13.44129
137.61991,7.18833
164.6828776,5.39342054
240.45151,6.8384715
119.7748539,6.73469322
176.13363,6.7040154
169.36446,4.60444
136.31533,10.04264
211.76821,10.71258
231.12961,12.876231
238.7418493,14.26758992
238.6878,14.584015
162.36126,12.25778
141.98154,14.766521
233.0540947,12.02259401
130.27463,9.7917121
234.89759,13.666575
218.40493,11.2173
231.73071,9.78267
208.04521,5.50383
218.9208815,6.55173347
129.1385,5.1784804
218.78375,13.14914
233.63822,15.133591
221.58421,4.73298
130.0890082,7.8926053
134.8377,4.942
232.88888,6.0253416
148.62696,9.87003
177.2681607,13.62941763
148.2582616,7.78980797
139.4366758,10.50436218
150.480643,15.76007133
215.911148,14.42450243
220.11478,5.53191
145.75908,5.02903
166.5934902,7.53148676
171.41669,4.67653
156.44317,5.65347
130.61192,14.425918
199.26596,6.71164
166.11033,11.75636
154.28758,4.34431
214.28106,4.83706
206.27717,6.5195667
170.54612,4.66156
175.5775,14.99472
138.73889,6.00517
169.1445576,4.41541668
231.4837,11.410364
239.0108225,5.45618075
203.90487,14.36095
139.8796322,14.16220094
170.59662,13.07781
223.1808261,4.60463882
164.05797,12.01129
147.82083,7.8275
164.40896,13.97903
208.02349,5.76504
236.45257,15.516478
125.8756475,15.15760649
119.21274,11.216758
175.461,15.97375
209.039,5.54258
163.50009,9.8312013
151.85025,5.32531
224.53658,6.74653
138.21212,6.47581
116.9080792,12.67012981
136.30208,5.86811
240.0905107,11.49497805
239.155728,5.96864568
131.27529,9.52992
172.78704,13.57039
241.3007084,11.04169431
145.57896,4.68939
175.8854583,15.04261976
200.1347,5.40687
239.98108,6.88408
140.31242,9.73119
160.50154,12.33493
144.347976,4.09851006
162.32675,12.3782
204.35917,7.64444
222.4612652,9.94168486
218.4851018,10.7948071
165.7579734,8.04847581
151.5195649,7.13515919
217.70279,7.15719
217.38923,4.17037
150.0101966,15.76849313
135.6614234,13.11655925
142.44238,8.04328
207.09483,8.21161
210.5533309,8.08562556
134.2726673,9.11831214
198.13862,7.18428
161.67216,12.32705
178.70551,6.70961
214.72282,9.29131
169.2549,4.66228
236.6024,4.4890537
120.85277,15.13877
163.48987,4.2589479
220.1267,14.477458
218.12942,11.55317
146.18289,9.61501
160.71846,13.74108
131.35586,15.329457
203.52892,9.26203
163.08129,11.04321
216.0620051,14.65325981
146.5348169,8.71807288
217.52992,8.70447
204.71156,8.1080756
231.1372416,8.51550195
240.69964,6.8751862
150.2895,8.78208
158.52251,15.780596
158.95409,8.4833183
152.58571,7.75372
149.90057,11.77504
194.23788,4.06483
205.0774,6.0409594
161.84315,14.0712
158.73388,11.49239
169.86709,9.59564
164.3640117,9.17441073
175.23646,14.07422
125.52474,8.30019
177.51139,15.023189
206.81667,13.17717
168.81733,14.69861
143.68633,6.4255
168.3175297,15.40860097
177.73329,14.59483
170.82949,13.62978
210.56935,13.1015
234.47271,14.029837
169.67578,12.561608
158.00533,4.34608
170.7463806,12.46046244
138.19446,8.9388818
214.4614266,6.84047581
162.22397,14.12452
163.01997,15.03046
174.28667,13.25136
134.7269654,5.52673514
175.86246,11.39844
162.18057,12.3154
169.80996,11.95217
209.4408887,7.83735123
159.36936,12.39628
173.82663,4.95481
198.02731,5.4757
161.147,13.93965
206.98937,4.31406
208.9916005,8.99544681
157.68454,6.12708
175.79373,14.22471
143.43375,9.71086
169.25438,13.09964
172.72158,14.1453
173.46213,14.05417
119.2575,14.39083
162.75629,13.33347
168.60487,15.53386
193.95587,4.01279
169.51613,10.24445
147.02454,7.12911
162.88061,14.11477
173.7213,11.02119
170.60008,12.97956
170.90674,12.89579
169.81612,14.29022
204.57105,8.18786
159.98188,13.90945
162.8371,12.84892
164.71648,14.13008
177.37929,15.26103
193.41753,4.07563
168.68758,12.6477
161.55729,12.96143
137.15226,5.29078
172.39421,10.80985
121.55443,15.50394
161.74,12.999
129.09113,4.77342
198.44711,10.05309
169.83914,14.075455
125.65313,7.46434
208.63978,4.24299
137.22295,14.58182
153.99748,6.80593
210.83875,9.42611
210.025,14.5
